nickname,roi,mdd,sharpRatio,winRate
爆仓一万次,74.686375,1.4917782,,23.8095
Miles_L,74.30223607,35.986174,3.96640201,50.0
RICHGURU,74.2262486,10.785646,5.54840083,98.3156
小笼包儿,74.222289,0.0,,70.0
neowind,74.08107736,76.155655,4.04008312,85.7143
Aborayed,73.981877,54.038597,,55.5556
x_Blue,73.94600751,5.6469359,6.32164585,75.4828
潇聲匿迹,73.84550305,43.289514,4.81437621,79.0698
CryptoSkyRocket,73.793675,0.05733354,,91.3043
Soi_Gia_Crypto,73.57279082,1.3950332,4.39517412,86.4286
My-Trades,73.54977771,26.537504,4.53055846,93.617
adrenalinprod,73.48316737,47.296687,1.79522336,47.7273
PteroisVolitans,73.478329,3.0857255,,46.3878
TradeEngine,73.45751312,13.976883,4.77084866,81.0036
慢慢来-不急呀,73.367765,93.017756,2.31597651,86.9565
甲森,73.31311534,51.740048,4.79993321,87.3134
Ginkgo_Partners,73.0596233,20.009883,2.46696457,96.8254
atm机子,73.031436,0.0,,50.0
simplelee,72.95758756,78.65462,1.64211975,33.3333
湘西,72.612951,0.0,,50.0
Eliz_MoneyKing,72.53787516,0.06442357,2.27584298,67.3077
Rdhello,72.307574,54.519979,,95.6522
Nebulae,72.266678,4.4137335,,50.0
CoinBrave,72.25987459,18.464059,3.74703323,50.0
StrongQuant,72.188124,33.716725,,96.9697
赌徒心理,71.932511,11.222033,,75.0
AbuCat,71.846828,7.2162146,,38.4615
